comparison,feature,left_group,right_group,left_n,left_mean,left_median,left_p25,left_p75,left_min,left_max,right_n,right_mean,right_median,right_p25,right_p75,right_min,right_max,mean_difference,relative_mean_difference
approve_vs_reject,h4_sqzmom,APPROVE,REJECT,8,-1711.6844995963847,-1026.7693437050614,-3397.366752463083,-475.1415007227771,-4415.021767405151,344.07815031817313,73,12.346371981389481,156.64682464163695,-1262.7587740798995,1343.093401785715,-4720.784455357139,3053.2890682640145,-1724.0308715777742,-139.63866261088862
approve_vs_reject,h4_volume,APPROVE,REJECT,8,24729.600625,23370.9505,13053.60325,34171.7295,6756.373,45358.494,73,21796.009068493153,16114.114,10917.197,24148.699,2442.758,76317.133,2933.5915565068462,0.13459306000874482
approve_vs_reject,h4_close_vs_ema10_pct,APPROVE,REJECT,8,-0.8331505294062652,-0.4375372975816971,-1.358158175379054,-0.14122163293928958,-2.6169405393673073,-0.065460856612376,73,0.23904994118975825,0.24365762983808992,-0.23788525308366948,0.7199499005979382,-2.262946252733755,3.4674302770709486,-1.0722004705960235,-4.485257202991357
approve_vs_reject,h4_close_vs_ema55_pct,APPROVE,REJECT,8,-3.3822593998882766,-2.5336507531514343,-3.8730575688125186,-2.2122193230639295,-8.687767737781959,-1.2046981658723088,73,0.43736583431839093,0.7738022176493109,-1.1895126927172317,1.6302312534142382,-4.9266037784867045,7.196784066786099,-3.8196252342066677,-8.733250140947407
approve_vs_reject,h4_ema10_vs_ema55_pct,APPROVE,REJECT,8,-2.574519305013104,-2.4436669620633014,-3.690071188488664,-1.1798036825261038,-6.233966392141122,0.0894332433861944,73,0.19338436648890672,0.23783400601007365,-0.7152136474075754,1.3506894205969067,-4.186903560722744,3.6043746130820953,-2.767903671502011,-14.312965012405947
approve_vs_reject,h4_dmi_spread,APPROVE,REJECT,8,-11.85788249130616,-10.628181458934542,-13.11496646928713,-6.505781487073355,-31.456108332069523,-0.9678587933232023,73,2.8314446373523743,3.054012554291049,-5.770984300576968,10.967774265044698,-34.963769788558984,48.19824086817158,-14.689327128658535,-5.187926662904567
approve_vs_reject,h1_adx,APPROVE,REJECT,8,34.004154898060534,28.09342505389462,23.236785992234413,43.31335704337371,19.710046401542314,59.59671922935815,73,26.320967726814313,24.946388664870423,20.434504327212515,30.935967867645168,12.26033966739501,60.71936564953806,7.683187171246221,0.2919036735651259
approve_vs_reject,h1_close,APPROVE,REJECT,8,75644.25,66788.65,62319.475,88521.55,59559.3,102124.9,73,83474.52465753426,77727.0,67313.0,92092.5,62756.0,123500.0,-7830.274657534261,-0.093804363542758
approve_vs_reject,h1_disparity_20,APPROVE,REJECT,8,-0.39514972244823754,-0.40132074192662515,-0.7538267367722534,-0.027345866919603612,-1.379186270540067,0.8392074335900501,73,0.18584292197056898,0.21333303616684063,-0.13974742115465677,0.543413796321035,-1.9872999748574705,2.486717805218275,-0.5809926444188065,-3.126256508767202
approve_vs_reject,h1_ema_10,APPROVE,REJECT,8,76066.550505345,67311.8570257278,62470.18618125298,88372.33943662484,59850.00894694799,103875.7397439653,73,83495.67696400166,78054.03319600511,66895.37391625528,91860.22688907244,62647.15970865178,122374.61703161287,-7429.126458656654,-0.08897618090885895
approve_vs_reject,h1_ema_55,APPROVE,REJECT,8,76751.10663474357,68874.14778015036,62875.39112997631,89191.7706403304,59981.078291357015,104103.72151384714,73,83362.53849720283,77747.71734749549,67122.50179731986,91425.69428770039,62258.10131798157,122606.06546032557,-6611.431862459256,-0.0793093874256372
approve_vs_reject,h1_high,APPROVE,REJECT,8,76224.875,67314.9,62523.025,88583.575,60313.0,104275.8,73,83716.24931506849,77777.0,67582.2,92317.4,62804.8,123740.1,-7491.3743150684895,-0.08948530752822537
approve_vs_reject,h1_low,APPROVE,REJECT,8,75453.775,66718.1,62243.975,88195.875,59302.8,101900.0,73,83217.93835616438,77338.4,67017.4,91980.0,62583.4,122640.3,-7764.163356164383,-0.09329915532075006
approve_vs_reject,h1_market_atr,APPROVE,REJECT,8,546.2075985764832,540.8162532386652,438.82704050502315,636.8837038631145,319.21308497465765,793.815966349313,73,481.9687969331356,445.2471302336855,344.3798263134158,588.750274931244,156.2340206856747,1186.0025499739374,64.23880164334759,0.13328415045146502
approve_vs_reject,h1_minus_di,APPROVE,REJECT,8,26.236800525215504,22.92762512629971,21.77056062300626,30.828137320736506,21.563625177877864,35.09163673285842,73,20.489711368633927,20.13371735179506,15.002601533013447,24.202934438976744,8.859052415387593,39.05076590727176,5.747089156581577,0.28048658437323515
approve_vs_reject,h1_open,APPROVE,REJECT,8,76071.7625,67295.35,62522.275,88375.075,59923.5,103948.5,73,83518.17397260274,77377.0,67474.8,92239.6,62757.2,122673.0,-7446.411472602747,-0.08915917480482105
approve_vs_reject,h1_plus_di,APPROVE,REJECT,8,13.396387424757732,13.297581420510845,10.821188067091956,16.608584875982537,8.810921768488662,17.753914298256007,73,21.36580348199595,22.050604478592028,17.04064123824052,25.14482112869179,6.48379994864407,45.49465197414364,-7.969416057238218,-0.3729986594678597
approve_vs_reject,h1_sqzmom,APPROVE,REJECT,8,556.4072429804647,416.0304063256724,298.9524448855324,639.4117322021149,10.765817378159454,1506.2129067477726,73,440.2639007352128,512.3407716670472,2.252991071429289,897.8318711648548,-1667.7962660756295,3026.1696250000027,116.14334224525192,0.2638039186299397
approve_vs_reject,h1_volume,APPROVE,REJECT,8,10163.9945,6632.8935,2855.7115,19377.966249999998,1488.171,21676.377,73,5270.138945205479,3838.691,2657.858,7043.595,486.951,23749.278,4893.855554794522,0.928600859612386
approve_vs_reject,h1_close_vs_ema10_pct,APPROVE,REJECT,8,-0.536386349368613,-0.4521627890429536,-0.8254892160815375,-0.05998200111503316,-1.6855136226040845,0.23229594380165253,73,-0.029909754923800446,0.025373284641383442,-0.22452303078237534,0.20299605168039303,-1.4383118606006606,1.4442026391721763,-0.5064765944448125,16.933491957227233
approve_vs_reject,h1_close_vs_ema55_pct,APPROVE,REJECT,8,-1.4764039941203524,-1.0443204955914664,-1.9439176551839243,-0.7760512464602187,-3.9851452042448776,-0.259884290448853,73,0.15764079945190393,0.17656684559292923,-0.452844347844894,0.7409181559115519,-2.939502805329941,4.711254609573268,-1.6340447935722564,-10.365621078132136
approve_vs_reject,h1_ema10_vs_ema55_pct,APPROVE,REJECT,8,-0.9456951560209217,-0.5699828394622797,-1.2989351627515577,-0.25863741194148415,-2.8765992893961534,-0.2185178195236115,73,0.1869112064907219,0.15393775312737557,-0.3426949457330686,0.7581470209651053,-2.2492310288065864,4.26463139248805,-1.1326063625116436,-6.05959580367839
approve_vs_reject,h1_dmi_spread,APPROVE,REJECT,8,-12.840413100457772,-10.783234487973415,-19.84613655056804,-5.14929790625353,-25.70287701796705,-4.868298144917379,73,0.8760921133620189,2.6956123198106923,-7.095032888978281,8.203290683591064,-29.22104407144066,36.63559955875605,-13.71650521381979,-15.65646466235435
short_approve_vs_short_reject,confirmation_delay_hours,SHORT_APPROVE,SHORT_REJECT,8,39.375,41.0,34.25,48.0,14.0,60.0,55,28.21818181818182,24.0,17.0,32.0,1.0,96.0,11.156818181818181,0.3953769329896908
short_approve_vs_short_reject,hour_utc,SHORT_APPROVE,SHORT_REJECT,8,13.875,15.0,10.75,16.75,3.0,22.0,55,10.763636363636364,9.0,5.0,17.0,0.0,23.0,3.1113636363636363,0.2890625
short_approve_vs_short_reject,d1_adx,SHORT_APPROVE,SHORT_REJECT,8,33.77347252637038,32.81335851011873,29.12997277147413,37.128971135421125,26.15303032362928,45.10611863623908,55,27.137746718136466,25.417793994593374,16.88637515096368,32.523561525976646,10.682968226541051,58.33667882703448,6.635725808233911,0.24452014668554556
short_approve_vs_short_reject,d1_close,SHORT_APPROVE,SHORT_REJECT,8,76030.175,67406.5,62446.274999999994,88725.875,59550.2,103005.8,55,80090.5218181818,71750.4,64821.5,90864.7,62255.3,115978.4,-4060.3468181818025,-0.050696970453001144
short_approve_vs_short_reject,d1_disparity_20,SHORT_APPROVE,SHORT_REJECT,8,-5.899588716949893,-5.474207166145717,-8.372276627385034,-3.6002076290937155,-12.177635909361106,0.6166190995268606,55,-0.44825610370836966,-0.5382874987482245,-2.1923679749868477,2.297268645423811,-12.696922386112686,8.105477630151992,-5.451332613241523,12.161201081576568
short_approve_vs_short_reject,d1_ema_10,SHORT_APPROVE,SHORT_REJECT,8,78709.99349001591,70787.74877630491,64705.75385979499,92110.05704960789,61399.52832810417,105166.14366175319,55,80006.77300871021,70232.27885144846,64680.76075661302,90386.8539806715,61456.6310368178,112971.1411485966,-1296.7795186942967,-0.016208371740641492
short_approve_vs_short_reject,d1_ema_55,SHORT_APPROVE,SHORT_REJECT,8,84052.48051747982,75251.31964971784,71800.62832390683,95883.18473035507,67680.79196103923,110982.19793080987,55,84223.41088377914,76297.71922571847,70487.09304075564,94724.23369835554,64670.49782926145,114358.54658084094,-170.93036629931885,-0.0020294875795897616
short_approve_vs_short_reject,d1_high,SHORT_APPROVE,SHORT_REJECT,8,78327.45,71392.25,64060.375,89366.35,60543.3,107473.7,55,81309.27090909092,73094.4,65589.65,91459.25,63450.0,116605.7,-2981.820909090922,-0.03667258205309443
short_approve_vs_short_reject,d1_low,SHORT_APPROVE,SHORT_REJECT,8,75022.01250000001,66931.5,61591.25,86100.025,58888.0,102400.0,55,78830.96181818181,70428.0,63762.05,89221.0,61520.0,114681.5,-3808.949318181796,-0.04831793536868012
short_approve_vs_short_reject,d1_market_atr,SHORT_APPROVE,SHORT_REJECT,8,2945.2560337091436,2641.727974284051,2251.336012326716,3725.18440331462,2145.8200481013537,4025.5001409262477,55,2842.675958579926,2712.093387563594,2286.1997362986035,3446.585912181181,1406.380621799326,4513.041072631294,102.58007512921768,0.03608574337134862
short_approve_vs_short_reject,d1_minus_di,SHORT_APPROVE,SHORT_REJECT,8,32.57320212012908,30.58358790686814,28.2515831516478,38.1794427539961,24.022129907549093,41.77606280770659,55,23.058615070049772,21.733402163836164,18.80282808935778,27.967435894565828,11.77314797003691,38.64138421635828,9.51458705007931,0.41262612785611563
