trade_id,entry_signal_time,entry_time,signal,atr_expansion,pnl_bruto,pnl_neto,result,duration_hours,entry_allowed,experiment_id
26,2025-12-24 20:00:00+00:00,2025-12-25 00:00:00+00:00,LONG,0.9345534630604594,-0.1982256691400145,-0.4278583764946643,LOSS,44.0,True,atr14_not_above_20bar_mean
27,2025-12-26 16:00:00+00:00,2025-12-26 20:00:00+00:00,SHORT,1.061258829663415,-3.016224585123332,-3.270540060525101,LOSS,56.0,False,atr14_not_above_20bar_mean
28,2025-12-29 00:00:00+00:00,2025-12-29 04:00:00+00:00,LONG,0.8782629903939378,-2.7251183518977995,-2.911215682563463,LOSS,12.0,True,atr14_not_above_20bar_mean
29,2025-12-29 12:00:00+00:00,2025-12-29 16:00:00+00:00,SHORT,1.083842927161889,-1.5180906563939285,-1.7303073953004549,LOSS,24.0,False,atr14_not_above_20bar_mean
30,2025-12-30 12:00:00+00:00,2025-12-30 16:00:00+00:00,LONG,1.0824493154560124,2.6144584271885694,2.280890492249666,WIN,120.0,False,atr14_not_above_20bar_mean
31,2026-01-04 12:00:00+00:00,2026-01-04 16:00:00+00:00,SHORT,0.9482148063211908,0.1124951803428058,-0.1974372701309005,LOSS,108.0,True,atr14_not_above_20bar_mean
32,2026-01-09 00:00:00+00:00,2026-01-09 04:00:00+00:00,LONG,1.0583275455118724,-0.2475049374877444,-0.5070686981958814,LOSS,68.0,False,atr14_not_above_20bar_mean
33,2026-01-11 20:00:00+00:00,2026-01-12 00:00:00+00:00,SHORT,0.74348315266727,-4.425357612428599,-4.801647142922759,LOSS,152.0,True,atr14_not_above_20bar_mean
34,2026-01-18 04:00:00+00:00,2026-01-18 08:00:00+00:00,LONG,0.724948133933608,-6.058538855183551,-6.419972395723778,LOSS,152.0,True,atr14_not_above_20bar_mean
35,2026-01-24 12:00:00+00:00,2026-01-24 16:00:00+00:00,SHORT,0.8179620616336933,1.0470118753985138,0.7983885897836567,WIN,56.0,True,atr14_not_above_20bar_mean
36,2026-01-26 20:00:00+00:00,2026-01-27 00:00:00+00:00,LONG,1.087535344787644,-0.3368040534266004,-0.5762428757014567,LOSS,52.0,False,atr14_not_above_20bar_mean
37,2026-01-29 00:00:00+00:00,2026-01-29 04:00:00+00:00,SHORT,1.1245851598577965,11.002327188102244,10.747650308191089,WIN,76.0,False,atr14_not_above_20bar_mean
38,2026-02-01 04:00:00+00:00,2026-02-01 08:00:00+00:00,LONG,1.2192671792450724,-10.121576899112371,-10.527325841297898,LOSS,192.0,False,atr14_not_above_20bar_mean
39,2026-02-09 04:00:00+00:00,2026-02-09 08:00:00+00:00,SHORT,0.808868694810333,4.7429095015875005,4.489463800621149,WIN,64.0,True,atr14_not_above_20bar_mean
40,2026-02-11 20:00:00+00:00,2026-02-12 00:00:00+00:00,LONG,0.9519549490212016,3.0024696218615263,2.708358820285642,WIN,88.0,True,atr14_not_above_20bar_mean
41,2026-02-15 12:00:00+00:00,2026-02-15 16:00:00+00:00,SHORT,0.8527414956018939,1.432788798301974,1.1747059477520765,WIN,64.0,True,atr14_not_above_20bar_mean
42,2026-02-18 04:00:00+00:00,2026-02-18 08:00:00+00:00,LONG,0.9449692333904984,-0.1549681617544452,-0.454661390707146,LOSS,96.0,True,atr14_not_above_20bar_mean
43,2026-02-22 04:00:00+00:00,2026-02-22 08:00:00+00:00,SHORT,0.8184897105265845,5.7987730422373565,5.546806500980475,WIN,64.0,True,atr14_not_above_20bar_mean
44,2026-02-24 20:00:00+00:00,2026-02-25 00:00:00+00:00,LONG,1.118916719038609,3.221232083009271,2.966815210775611,WIN,60.0,False,atr14_not_above_20bar_mean
45,2026-02-27 08:00:00+00:00,2026-02-27 12:00:00+00:00,SHORT,1.061298586297235,-2.0891457620964125,-2.3221624923576143,LOSS,40.0,False,atr14_not_above_20bar_mean
