side,dimension,group,n,win_rate,expectancy,profit_factor,average_pnl,median_pnl,average_win,average_loss,payoff_ratio,mean_mfe,mean_mae,loss_lt_3_rate,loss_lt_5_rate,best_trade,worst_trade,mean_duration_hours
LONG,trend_adx_direction,ALIGNED_FALLING,15,53.333333333333336,-1.7135318469835863,0.2348006732333398,-1.7135318469835863,0.0585392079155889,0.9858667307443364,-4.798558792958356,0.20545058907917235,2.1829200041267063,-4.111434158542576,20.0,20.0,2.0505290752479657,-15.608768974289973,80.0
LONG,trend_adx_direction,ALIGNED_RISING,5,60.0,-0.10645781194618556,0.9339287799791204,-0.10645781194618556,1.903146440518936,2.508001073153285,-4.028146139595392,0.6226191866527468,2.7564495065688606,-3.046315665386789,20.0,20.0,3.3399662866912534,-5.14507659662732,94.4
LONG,trend_adx_direction,COUNTER_FALLING,20,50.0,0.6784687609069441,2.2774701556336763,0.6784687609069441,-0.005951175870480399,2.4191443497618907,-1.0622068279480026,2.277470155633676,3.0023856306058865,-2.047844210157046,0.0,0.0,6.63919893652782,-2.8248497017627363,72.8
LONG,trend_adx_direction,COUNTER_RISING,10,40.0,-1.1518041107949715,0.43163283940712205,-1.1518041107949715,-0.6140316700197144,2.1867751748035222,-3.3775236345273005,0.6474492591106831,2.341222492852542,-5.1676659010430805,20.0,10.0,3.0652481676349037,-10.527325841297898,104.0
SHORT,alignment,ALIGNED,24,45.83333333333333,0.7196696183186134,1.728787862212419,0.7196696183186134,-0.09678210774366725,3.7247085782096434,-1.8230556554353352,2.0431129280692226,3.8145258683547727,-2.797462856221177,12.5,0.0,13.120472163727344,-4.801647142922759,78.5
SHORT,alignment,COUNTER,26,57.692307692307686,-0.6995161118012254,0.6483428555884164,-0.6995161118012254,0.26217234105947956,2.235450693424465,-4.701743573472622,0.47545142743150537,3.224675858386732,-3.9637809199434666,15.384615384615385,11.538461538461538,5.800634420116925,-24.016229459324894,97.84615384615384
SHORT,adx_band,HIGH,15,46.666666666666664,0.8560038785896827,1.8463101020195465,0.8560038785896827,-0.0044048116695028,4.001695810275925,-1.8964765616357795,2.1100686880223387,4.227648147890792,-3.2868328337163217,6.666666666666667,6.666666666666667,13.120472163727344,-8.466965081792235,92.8
SHORT,adx_band,LOW,18,50.0,0.23272000708974452,1.1915876157575795,0.23272000708974452,-0.17782585530814168,2.8948246711106655,-2.4293846569311763,1.1915876157575795,3.451909469205629,-3.2696272470954515,16.666666666666664,0.0,5.800634420116925,-4.801647142922759,81.11111111111111
SHORT,adx_band,MID,17,58.82352941176471,-1.0555509631556343,0.5324872967086846,-1.0555509631556343,0.0870925084312552,2.0438262049745592,-5.4832326319130535,0.3727411076960792,2.931829440853315,-3.649507618492671,17.647058823529413,11.76470588235294,10.747650308191089,-24.016229459324894,92.70588235294117
SHORT,trend_adx_group,ALIGNED_HIGH,10,60.0,2.046304825435067,6.602686318003732,2.046304825435067,0.2592571509943409,4.019235329413437,-0.9130909305324881,4.401790878669154,5.006125456967731,-2.435905682568503,0.0,0.0,13.120472163727344,-1.406684343904662,79.2
SHORT,trend_adx_group,ALIGNED_LOW,7,14.285714285714285,-1.8693878863545164,0.21879121007608598,-1.8693878863545164,-1.7303073953004549,3.664883832884696,-2.7917665062277184,1.3127472604565158,1.9461035444744812,-4.317041302311012,42.857142857142854,0.0,3.664883832884696,-4.801647142922759,86.28571428571429
